tradeId,ticker,direction,setup,netPnL,openTime,closeTime,rMultiple,mae_r,mfe_r,quantity,riskAmount,spread_pips_at_entry,commission_at_entry,pip_value_at_entry
demo-408,USDJPY,SELL,CSV,-218.48,1730666820000,1730742420000,-0.98,-0.97,0.85,1,224.0,1.9,1.1,8.0
demo-409,XAUUSD,SELL,Breakout,72.92,1730746020000,1730972820000,0.76,-0.69,1.28,1,96.0,1.1,3.8,10.0
demo-410,NAS100,SELL,Pullback,331.25,1730977260000,1730998860000,2.04,-0.65,0.71,1,162.0,1.4,2.7,10.0
demo-411,EURUSD,BUY,Reversal,-214.18,1731000360000,1731176760000,-1.24,-0.12,0.66,1,173.0,1.3,2.1,10.0
demo-412,GBPUSD,BUY,CSV,-52.22,1731183420000,1731345420000,-0.26,-0.89,0.85,1,203.0,0.7,2.9,10.0
demo-413,USDJPY,SELL,Breakout,178.25,1731353760000,1731454560000,1.4,-0.83,1.61,1,127.0,1.7,3.2,8.0
demo-414,XAUUSD,BUY,Pullback,127.7,1731457740000,1731680940000,0.63,-0.84,0.13,1,202.0,0.8,2.8,10.0
demo-415,NAS100,BUY,Reversal,285.16,1731689160000,1731753960000,1.35,-0.1,0.68,1,211.0,1.3,2.2,10.0
demo-416,EURUSD,BUY,CSV,142.55,1731764520000,1731775320000,1.41,-0.5,1.2,1,101.0,1.8,2.8,10.0
demo-417,GBPUSD,BUY,Breakout,339.64,1731780540000,1731866940000,1.62,-0.38,1.13,1,210.0,0.9,2.2,10.0
demo-418,USDJPY,BUY,Pullback,-163.79,1731877380000,1731927780000,-1.25,-0.7,0.85,1,131.0,0.8,3.7,8.0
demo-419,XAUUSD,BUY,Reversal,-73.32,1731928920000,1731946920000,-0.35,-0.68,0.85,1,208.0,1.9,3.3,10.0
demo-420,NAS100,SELL,CSV,79.67,1731955980000,1732157580000,0.43,-0.55,0.61,1,187.0,1.7,2.1,10.0
demo-421,EURUSD,SELL,Breakout,192.69,1732166460000,1732213260000,1.69,-0.91,0.27,1,114.0,1.0,1.0,10.0
demo-422,GBPUSD,SELL,Pullback,77.23,1732220640000,1732224240000,0.36,-0.67,1.68,1,213.0,1.2,1.3,10.0
demo-423,USDJPY,SELL,Reversal,185.5,1732233960000,1732431960000,1.29,-0.59,1.5,1,144.0,1.7,2.2,8.0
demo-424,XAUUSD,SELL,CSV,165.14,1732441800000,1732701000000,1.32,-0.29,0.79,1,125.0,1.7,2.2,10.0
demo-425,NAS100,SELL,Breakout,217.18,1732709280000,1732774080000,1.57,-0.2,0.58,1,138.0,1.7,3.4,10.0
demo-426,EURUSD,SELL,Pullback,-45.79,1732776780000,1732801980000,-0.26,-0.14,0.42,1,179.0,0.7,1.8,10.0
demo-427,GBPUSD,SELL,Reversal,240.3,1732805340000,1732978140000,1.02,-0.99,1.5,1,235.0,1.6,2.8,10.0
demo-428,USDJPY,SELL,CSV,144.82,1732980240000,1733063040000,0.7,-0.67,1.95,1,206.0,0.9,3.4,8.0
demo-429,XAUUSD,BUY,Breakout,-137.81,1733073720000,1733311320000,-0.99,-0.39,0.85,1,139.0,0.7,1.8,10.0
demo-430,NAS100,BUY,Pullback,126.8,1733320140000,1733507340000,0.7,-0.06,1.71,1,181.0,1.4,3.2,10.0
demo-431,EURUSD,SELL,Reversal,300.34,1733513640000,1733772840000,1.78,-0.26,2.31,1,169.0,1.9,2.7,10.0
demo-432,GBPUSD,BUY,CSV,244.28,1733782680000,1733905080000,1.33,-0.53,0.87,1,184.0,1.7,3.9,10.0
demo-433,USDJPY,SELL,Breakout,-189.02,1733908620000,1734157020000,-1.31,-0.59,0.85,1,144.0,1.9,2.4,8.0
demo-434,XAUUSD,BUY,Pullback,69.7,1734166740000,1734379140000,0.8,-0.41,1.91,1,87.0,1.5,1.7,10.0
demo-435,NAS100,BUY,Reversal,62.39,1734389040000,1734536640000,0.37,-0.84,0.66,1,170.0,1.2,3.2,10.0
demo-436,EURUSD,SELL,CSV,-171.1,1734543840000,1734702240000,-0.77,-0.39,0.85,1,221.0,0.9,3.2,10.0
demo-437,GBPUSD,BUY,Breakout,101.34,1734704280000,1734794280000,0.77,-0.3,0.61,1,131.0,1.8,2.1,10.0
demo-438,USDJPY,BUY,Pullback,-97.98,1734802800000,1734853200000,-0.98,-0.63,0.85,1,100.0,1.8,2.1,8.0
demo-439,XAUUSD,SELL,Reversal,-179.3,1734855900000,1735003500000,-0.79,-0.99,0.85,1,227.0,1.2,3.3,10.0
demo-440,NAS100,SELL,CSV,-166.1,1735011960000,1735073160000,-0.78,-0.56,0.85,1,214.0,1.8,3.3,10.0
demo-441,EURUSD,BUY,Breakout,329.9,1735074840000,1735287240000,1.56,-0.06,0.57,1,212.0,1.1,2.8,10.0
demo-442,GBPUSD,BUY,Pullback,180.72,1735289940000,1735412340000,0.82,-0.96,0.88,1,220.0,1.3,1.6,10.0
demo-443,USDJPY,BUY,Reversal,120.99,1735416060000,1735588860000,0.66,-0.17,1.42,1,182.0,1.7,3.2,8.0
demo-444,XAUUSD,SELL,CSV,-88.48,1735595340000,1735706940000,-0.47,-0.81,0.85,1,190.0,1.7,1.5,10.0
demo-445,NAS100,BUY,Breakout,-126.63,1735716360000,1735946760000,-0.6,-0.51,0.66,1,212.0,1.2,3.1,10.0
demo-446,EURUSD,SELL,Pullback,210.58,1735949700000,1735978500000,1.45,-0.48,0.86,1,145.0,1.1,2.7,10.0
demo-447,GBPUSD,BUY,Reversal,81.97,1735982700000,1736101500000,0.96,-0.7,1.48,1,85.0,2.0,1.9,10.0
demo-448,USDJPY,SELL,CSV,-151.29,1736107680000,1736258880000,-0.74,-0.12,0.85,1,204.0,1.5,1.4,8.0
demo-449,XAUUSD,BUY,Breakout,235.98,1736267580000,1736346780000,1.42,-0.43,2.18,1,166.0,0.8,1.7,10.0
demo-450,NAS100,SELL,Pullback,-101.38,1736357460000,1736505060000,-0.69,-0.89,0.85,1,148.0,1.6,2.6,10.0
demo-451,EURUSD,BUY,Reversal,47.63,1736510400000,1736719200000,0.39,-0.74,1.62,1,122.0,0.9,2.2,10.0
demo-452,GBPUSD,BUY,CSV,-56.08,1736726400000,1736773200000,-0.28,-0.43,0.85,1,201.0,0.7,2.9,10.0
demo-453,USDJPY,BUY,Breakout,260.89,1736775060000,1736814660000,1.64,-0.47,0.37,1,159.0,0.6,3.0,8.0
demo-454,XAUUSD,BUY,Pullback,-168.08,1736821500000,1736972700000,-0.84,-0.31,0.85,1,199.0,1.4,2.4,10.0
demo-455,NAS100,SELL,Reversal,206.83,1736980860000,1737182460000,0.96,-0.56,1.95,1,216.0,1.0,2.2,10.0
demo-456,EURUSD,SELL,CSV,145.71,1737191400000,1737263400000,1.78,-0.86,0.88,1,82.0,1.3,3.1,10.0
demo-457,GBPUSD,BUY,Breakout,172.11,1737268920000,1737495720000,1.1,-0.33,0.62,1,156.0,1.4,1.6,10.0
demo-458,USDJPY,BUY,Pullback,289.81,1737503940000,1737763140000,1.6,-0.66,2.0,1,181.0,1.0,2.3,8.0
demo-459,XAUUSD,SELL,Reversal,-236.73,1737770700000,1737882300000,-1.0,-0.32,0.85,1,236.0,1.2,3.6,10.0
demo-460,NAS100,SELL,CSV,176.61,1737891120000,1737977520000,1.15,-0.48,1.71,1,154.0,0.9,1.1,10.0
demo-461,EURUSD,BUY,Breakout,44.96,1737980460000,1738005660000,0.53,-0.31,1.74,1,85.0,0.9,1.5,10.0
demo-462,GBPUSD,BUY,Pullback,288.08,1738014720000,1738245120000,1.73,-0.52,0.94,1,167.0,1.1,3.5,10.0
demo-463,USDJPY,SELL,Reversal,-48.62,1738249320000,1738317720000,-0.33,-0.5,0.53,1,148.0,1.7,3.5,8.0
demo-464,XAUUSD,SELL,CSV,-131.23,1738319460000,1738377060000,-0.74,-0.75,0.16,1,178.0,1.6,1.3,10.0
demo-465,NAS100,BUY,Breakout,-106.2,1738381740000,1738478940000,-0.59,-0.36,0.85,1,179.0,1.6,2.6,10.0
demo-466,EURUSD,BUY,Pullback,-95.12,1738487100000,1738544700000,-0.47,-0.89,0.85,1,203.0,2.0,1.7,10.0
demo-467,GBPUSD,BUY,Reversal,69.15,1738549440000,1738751040000,0.83,-0.16,1.91,1,83.0,2.0,2.7,10.0
demo-468,USDJPY,SELL,CSV,60.28,1738756920000,1738976520000,0.51,-0.2,0.29,1,119.0,1.9,4.0,8.0
demo-469,XAUUSD,BUY,Breakout,-174.67,1738986540000,1739015340000,-1.02,-0.8,0.37,1,171.0,1.0,2.7,10.0
demo-470,NAS100,BUY,Pullback,130.43,1739017140000,1739179140000,1.01,-0.74,0.66,1,129.0,1.3,2.3,10.0
demo-471,EURUSD,SELL,Reversal,138.7,1739186760000,1739323560000,0.68,-0.38,1.78,1,205.0,1.8,2.8,10.0
demo-472,GBPUSD,SELL,CSV,-72.2,1739332740000,1739588340000,-0.74,-0.83,0.85,1,97.0,0.6,2.9,10.0
demo-473,USDJPY,BUY,Breakout,-54.64,1739591700000,1739768100000,-0.65,-0.64,0.82,1,84.0,1.5,2.6,8.0
demo-474,XAUUSD,SELL,Pullback,-233.75,1739771820000,1739951820000,-1.09,-0.2,0.74,1,214.0,1.5,1.3,10.0
demo-475,NAS100,SELL,Reversal,-35.74,1739955600000,1740196800000,-0.39,-0.88,0.55,1,91.0,0.9,1.1,10.0
demo-476,EURUSD,BUY,CSV,-192.46,1740198720000,1740378720000,-0.9,-0.1,0.59,1,214.0,0.6,3.8,10.0
demo-477,GBPUSD,SELL,Breakout,-63.04,1740387120000,1740613920000,-0.32,-0.58,0.85,1,199.0,1.8,3.4,10.0
demo-478,USDJPY,BUY,Pullback,-156.54,1740616020000,1740644820000,-1.06,-0.84,0.26,1,148.0,1.9,1.3,8.0
demo-479,XAUUSD,BUY,Reversal,226.21,1740655140000,1740763140000,1.27,-0.29,1.53,1,178.0,1.4,2.7,10.0
demo-480,NAS100,BUY,CSV,261.68,1740772200000,1740822600000,1.15,-0.68,2.13,1,227.0,1.7,2.6,10.0
demo-481,EURUSD,SELL,Breakout,-109.19,1740833280000,1741067280000,-0.91,-0.94,0.85,1,120.0,1.8,2.2,10.0
demo-482,GBPUSD,SELL,Pullback,306.64,1741073340000,1741274940000,1.3,-0.41,1.36,1,235.0,1.1,2.4,10.0
demo-483,USDJPY,SELL,Reversal,-79.67,1741280760000,1741464360000,-0.91,-0.54,0.85,1,88.0,0.6,4.0,8.0
demo-484,XAUUSD,BUY,CSV,-109.45,1741465260000,1741566060000,-1.29,-0.83,0.85,1,85.0,0.7,2.4,10.0
demo-485,NAS100,BUY,Breakout,201.21,1741571760000,1741643760000,1.37,-0.27,1.96,1,147.0,1.4,2.7,10.0
demo-486,EURUSD,BUY,Pullback,-71.75,1741646760000,1741747560000,-0.44,-0.83,0.85,1,163.0,1.4,1.9,10.0
demo-487,GBPUSD,BUY,Reversal,-58.08,1741749600000,1741926000000,-0.62,-0.89,0.85,1,94.0,1.8,1.7,10.0
demo-488,USDJPY,SELL,CSV,224.38,1741928100000,1741935300000,1.27,-0.35,1.39,1,177.0,1.3,1.7,8.0
demo-489,XAUUSD,SELL,Breakout,-171.26,1741945920000,1741971120000,-0.88,-0.14,0.85,1,194.0,0.8,2.0,10.0
demo-490,NAS100,BUY,Pullback,-49.57,1741978020000,1742197620000,-0.54,-0.43,0.85,1,92.0,1.7,2.4,10.0
demo-491,EURUSD,BUY,Reversal,-84.29,1742207280000,1742300880000,-0.47,-0.64,0.85,1,181.0,0.9,1.8,10.0
demo-492,GBPUSD,SELL,CSV,346.3,1742309220000,1742510820000,1.53,-0.45,0.89,1,227.0,1.1,3.0,10.0
demo-493,USDJPY,BUY,Breakout,-226.32,1742516640000,1742660640000,-1.34,-0.47,0.42,1,169.0,1.9,1.7,8.0
demo-494,XAUUSD,SELL,Pullback,44.99,1742664120000,1742836920000,0.45,-0.95,2.23,1,101.0,0.6,3.1,10.0
demo-495,NAS100,SELL,Reversal,181.5,1742840160000,1742894160000,0.93,-0.75,0.57,1,195.0,1.4,2.9,10.0
demo-496,EURUSD,SELL,CSV,-172.46,1742899740000,1742968140000,-0.98,-0.09,0.48,1,176.0,0.9,3.1,10.0
demo-497,GBPUSD,SELL,Breakout,-51.57,1742969280000,1743095280000,-0.26,-0.42,0.71,1,199.0,1.8,1.1,10.0
demo-498,USDJPY,BUY,Pullback,281.78,1743096960000,1743276960000,1.59,-0.91,1.2,1,177.0,0.9,2.5,8.0
demo-499,XAUUSD,BUY,Reversal,166.94,1743281400000,1743493800000,1.96,-0.34,1.22,1,85.0,0.6,3.1,10.0
demo-500,NAS100,SELL,CSV,323.72,1743503280000,1743668880000,2.06,-0.53,1.96,1,157.0,1.8,3.7,10.0
